Region,area,bedrooms,name,price,url,where,Latitude,Longtitude,City
sfc,,3,$1575 Converted Bedroom in a New High-Rise Luxury Apartment!,1575,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1575-converted-bedroom-in/6858449817.html,hayes valley,37.775159,-122.425053,san francisco
sfc,350ft2,0,"1 bedroom 1 bath ground floor 2,100",2100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1-bedroom-1-bath-ground/6855177625.html,inner richmond,37.7786,-122.4892,san francisco
sfc,,2,OPEN HOUSE SUNDAY 4/7 Large 2 Bedroom Unit Available Now!,3950,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-house-sunday-4-7/6858444341.html,pacific heights,37.787977,-122.448656,san francisco
sfc,,2,"38th Ave/Fulton - Freshly painted lg 2/1,  Close all",3200,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-38th-ave-fulton-freshly/6858444122.html,richmond / seacliff,37.772315,-122.498142,daly city
sfc,,2,"2130 Santiago St.  : 2 Bedrooms, with 2 Baths (Section 8 Available)",2700,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2130-santiago-st-2/6858443791.html,ingleside / SFSU / CCSF,37.74429,-122.490078,daly city
sfc,1200ft2,1,Top Floor Huge one-bedroom apartment,4000,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-huge-one/6858443237.html,pacific heights,37.787856,-122.44211,san francisco
sfc,450ft2,0,Check out this Amazing Deal! Studio with large walk-in closet!,3188,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-check-out-this-amazing/6858441796.html,SOMA / south beach,37.787213,-122.391949,san francisco
sfc,,1,Mid Century Modern Envy at 1599 GREEN #205. Pets BFF. $95 Deposit IQ.,3895,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-mid-century-modern-envy/6851205467.html,pacific heights,37.797408,-122.425437,san francisco
sfc,,0,Watercolor Memories Near 238 LEAVENWORTH #31. Final Frontier Low Rent.,1650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-watercolor-memories-near/6858440314.html,tenderloin,37.783155,-122.414127,san francisco
sfc,600ft2,1,Cool.!1bd/1ba For Rent,800,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cool1bd-1ba-for-rent/6850848771.html,richmond / seacliff,37.777691,-122.47489,san francisco
sfc,400ft2,0,Nice studio in Hayes Valley near shops and restaurants,2100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nice-studio-in-hayes/6858435032.html,hayes valley,37.776083,-122.429253,san francisco
sfc,,2,$500 off first months rent  Upper flat private  yard gated,2650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-500-off-first-months-rent/6858434916.html,Ocean view Short term one year,37.7195,-122.4411,daly city
sfc,300ft2,1,Micro one bedroom apartment near *mission bay*sfo,1598,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-micro-one-bedroom/6858433187.html,,37.719,-122.4096,daly city
sfc,,1,Convenient Location! Furnished Room!,1100,https://sfbay.craigslist.org/sfc/apa/d/convenient-location-furnished-room/6858420968.html,north beach / telegraph hill,37.796453,-122.405193,san francisco
sfc,800ft2,1,SAUSALITO Studio* Modern *Furnished w/Fenced Yard Views Washer/Dryer,2950,https://sfbay.craigslist.org/sfc/apa/d/sausalito-sausalito-studio-modern/6843600055.html,sausalito,37.864927,-122.504084,tiburon
sfc,,1,Fully Remodeled-Top Floor-Steps To Alamo Square-Open Sun 12-12:30 PM,2795,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-remodeled-top-floor/6858429018.html,alamo square / nopa,37.778803,-122.433484,san francisco
sfc,,1,BEAUTIFUL Studio - W/HARDWOOD Flrs - Avail MID APRIL,2100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-studio-hardwood/6858428697.html,nob hill,37.790523,-122.411041,san francisco
sfc,629ft2,0,Luxurious Upgraded Studio!,3545,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-luxurious-upgraded-studio/6858427964.html,SOMA / south beach,37.772065,-122.404452,san francisco
sfc,900ft2,1,"Cozy, classic 1 BR in heart of Cole Valley",3200,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-cozy-classic-1-br-in/6858426860.html,cole valley / ashbury hts,37.764728,-122.450852,san francisco
sfc,,1,Bright Edwardian Flat-Bottom of Crooked Street-Deck-Must See!,3650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-edwardian-flat/6856578662.html,russian hill,37.802227,-122.417765,san francisco
sfc,,2,Bright Edwardian Flat-Bottom of Crooked Street-Deck-Must See!,3650,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-edwardian-flat/6836944306.html,russian hill,37.802227,-122.417765,san francisco
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858424238.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858422262.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,1150ft2,3,"Beautiful 3 bedroom , 1.5 bath W/PRIVATE DECK & GARDEN ( showing 4/6)",3950,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-3-bedroom-15/6858421388.html,haight ashbury,37.770876,-122.445481,san francisco
sfc,850ft2,2,Large 2 Bedroom Apartment by the Ocean and GGP,3200,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-2-bedroom-apartment/6837456482.html,sunset / parkside,37.760377,-122.506999,daly city
sfc,850ft2,0,"Top Floor, Corner, Sunny 2 Bedroom Apartment with Beach Views",2990,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-corner-sunny-2/6837456332.html,sunset / parkside,37.760377,-122.506999,daly city
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858420476.html,SOMA / south beach,37.783232,-122.38937,san francisco
sfc,,1,14th Street & Guerrero/Pets Ok/ Flex Leases! $95 Move In Special!,3695,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-14th-street-guerrero-pets/6856802398.html,mission district,37.76805,-122.423689,san francisco
sfc,,2,"$ 3,300---Two bedrooms w/1 1/2 bathrooms",3300,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-bedrooms-bathrooms/6858418912.html,inner sunset / UCSF,37.7593,-122.4836,daly city
sfc,,2,650 Delancey Streetis one of the most coveted addresses in South Beach,3500,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-650-delancey-streetis-one/6858418680.html,SOMA / south beach,37.783232,-122.38937,san francisco
